claim_id,policy_id,claim_date,decision_date,claim_amount,claim_status,claim_type
CLM0000001,POL000056,2025-03-07,2025-03-13,4738.55,Approved,Fire
CLM0000002,POL000292,2023-05-01,,4156.95,Pending,Fire
CLM0000003,POL000770,2024-05-09,2024-05-19,10385.85,Approved,Water Damage
CLM0000004,POL001223,2023-06-09,2023-06-28,6785.25,Approved,Water Damage
CLM0000005,POL001034,2022-10-30,,3751.81,Pending,Fire
CLM0000006,POL000125,2026-03-16,2026-04-01,8958.04,Approved,Collision
CLM0000007,POL000992,2025-05-22,2025-06-01,2504.03,Approved,Collision
CLM0000008,POL000552,2026-07-18,,4067.57,Pending,Wind
CLM0000009,POL000208,2022-08-13,2022-09-03,6025.46,Denied,Water Damage
CLM0000010,POL000258,2026-05-28,2026-06-14,3551.86,Approved,Collision
CLM0000011,POL001303,2024-02-25,2024-03-03,,Approved,Fire
CLM0000012,POL001107,2025-01-17,2025-02-04,4505.05,Denied,Flood
CLM0000013,POL001137,2025-11-02,2025-12-01,4307.89,Approved,Flood
CLM0000014,POL001272,2023-02-11,2023-02-19,8455.88,Approved,Collision
CLM0000015,POL000124,2023-10-06,2023-10-17,6183.38,Approved,Water Damage
CLM0000016,POL001393,2024-07-04,,14654.44,Pending,Water Damage
CLM0000017,POL001295,2023-10-10,2023-10-29,8829.52,Approved,Fire
CLM0000018,POL000094,2025-04-16,2025-05-05,4375.38,Denied,Collision
CLM0000019,POL000616,2024-12-10,2024-12-16,2840.09,Approved,Water Damage
CLM0000020,POL000287,2026-07-18,,1790.54,Pending,Flood
CLM0000021,POL000432,2023-11-07,2023-12-05,5278.85,Approved,Fire
CLM0000022,POL001397,2024-11-14,2024-12-11,2447.26,Approved,Wind
CLM0000023,POL000928,2022-08-03,2022-08-16,4033.77,Approved,Fire
CLM0000024,POL000432,2023-06-05,,6231.33,Pending,Fire
CLM0000025,POL000033,2025-08-17,2025-08-20,2650.99,Approved,Injury
CLM0000026,POL000976,2023-01-04,,6587.53,Pending,Wind
CLM0000027,POL000356,2025-09-23,2025-10-18,11548.31,Approved,Wind
CLM0000028,POL001002,2026-07-18,2026-08-15,5375.05,Approved,Wind
CLM0000029,POL001334,2023-06-24,2023-07-23,3415.67,Approved,Water Damage
CLM0000030,POL001376,2023-08-14,2023-08-28,2526.48,Approved,Water Damage
